Title,Model,Brand,Category,Price,Image URL,Product URL,Store
"DAEWOO Refrigerator Two Door, No Frost, LED Display, Stainless Stell, 465 Lit, A+", DE-R49,Daewoo,SIDE BY SIDE,479.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0068_b93dd3eb-1e94-4cad-8885-497a5622a906.jpg?v=1722504748&width=1024,/products/zhr0606st0068,Smart Buy
"Whirlpool Free Standing Refrigerator with Freezer French Door, 308 Lit",W5 711E OX,Whirlpool ,BOTTOM FREEZER,450.0,https://smartbuy-me.com/cdn/shop/files/TCO0606ST0077-1.jpg?v=1729428557&width=1024,/products/tco0606st0077,Smart Buy
"TEKA Built-in Combi Refrigerator, Bottom Freezer, 275 lit, No Frost Built-in, White",CI3 330 NF EU,Teka,BOTTOM FREEZER,699.0,https://smartbuy-me.com/cdn/shop/files/ALZ0606ST0082-1.jpg?v=1725868137&width=1024,/products/alz0606st0082,Smart Buy
Teka Refrigerator Four Door French Door Compressor Inverter Black Steel,RMF 77960 DSS,TEKA,SIDE BY SIDE,1550.0,https://smartbuy-me.com/cdn/shop/files/ALZ0606ST0079_19742bc5-ec69-4722-9426-9d29400b0417.jpg?v=1722498720&width=1024,/products/alz0606st0079,Smart Buy
"Bosch Serie 6 Bottom Mount Refrigerator A++, 578Lit, 75Cm, Inox",KGN76CI30U,BOSCH,BOTTOM FREEZER,902.0,https://smartbuy-me.com/cdn/shop/files/DAK0606ST0022.jpg?v=1731397681&width=1024,/products/dak0606st0022,Smart Buy
"National Deluxe Refrigerator Two Door, No Frost, LED Display, Stainless Steel, 538 Lit, A+",ND-559SS,National D,TOP MOUNT,599.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0066_a2ce2547-df3c-4e5d-9144-e2c48edb225f.jpg?v=1722504745&width=1024,/products/zhr0606st0066,Smart Buy
"Daewoo Two Door No Frost Refrigerator, X Cooling, 480 Lit, Digital Screen",FGK-50ECG,DAEWOO,TOP MOUNT,899.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0040_34a15210-90ab-42f8-87c6-856f98c603c5.jpg?v=1722967871&width=1024,/products/zhr0606st0040,Smart Buy
"Daewoo Refrigerator Four Door, 503 Lit. Inverter Compressor, Digital, Stainless Steel",DE-FDS810SS,Daewoo,SIDE BY SIDE,899.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0074-1_1f7cdb07-1e18-4815-aea7-a3ab3e89ac48.jpg?v=1725799517&width=1024,/products/zhr0606st0074,Smart Buy
"Daewoo Refrigerator Two Door, 465 Lit, Inverter Compressor, Digital, Stainless Steel",DE-TMF590SS,Daewoo,TOP MOUNT,575.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0073-1.jpg?v=1725799469&width=1024,/products/zhr0606st0073,Smart Buy
Aux Two Doors Refrigerator 528 L A++ H-D-W 80 X 72 X 184 Silver,AUX-71I,AUX,SIDE BY SIDE,666.0,https://smartbuy-me.com/cdn/shop/files/AHL0606ST0016_1ae4fa02-5153-404b-8a48-c3b6e1788220.jpg?v=1722498640&width=1024,/products/ahl0606st0016,Smart Buy
"Indesit Built-in Combi Refrigerator, Bottom Freezer, 250 Lit, Built-in Combi, White",INC18T111ME,Indesit,BOTTOM FREEZER,699.0,https://smartbuy-me.com/cdn/shop/files/ALZ0606ST0084.jpg?v=1725883937&width=1024,/products/alz0606st0084,Smart Buy
"National Deluxe Refrigerator Two Door, No Frost, LED Display, Stainless Steel, 420 Lit, A+",ND-449SS,National D,TOP MOUNT,425.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0064_adad1f6a-94f6-4d4a-a5f6-0c4faa250bf8.jpg?v=1722504743&width=1024,/products/zhr0606st0064,Smart Buy
Chiq Refrigerator Top Mounted Silver 465 L A++ Inverter Total No Frost Design,CTM620NPSK5,CHiQ,TOP MOUNT,449.0,https://smartbuy-me.com/cdn/shop/files/ALT0606ST0003_70aa04d7-09a0-4f68-b8b6-958163537ae3.jpg?v=1722498662&width=1024,/products/alt0606st0003,Smart Buy
"Daewoo Refrigerator Two Door, 255 Lit, Inverter Compressor, Stainless Steel, A",DE-TMF365SS,Daewoo,TOP MOUNT,330.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0072-1.jpg?v=1725798839&width=1024,/products/zhr0606st0072,Smart Buy
"Daewoo Refrigerator Four Door, 601 Lit, Inverter Compressor, Digital, Stainless Steel",DE-FDS910SS,Daewoo,SIDE BY SIDE,999.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0075-1.jpg?v=1725799862&width=1024,/products/zhr0606st0075,Smart Buy
"National Deluxe Refrigerator Two Door No Frost, LED Display, Stainless 465lit, A+",ND-479SS,National Deluxe,TOP MOUNT,399.0,https://smartbuy-me.com/cdn/shop/files/ZFD0606ST0010.jpg?v=1731396824&width=1024,/products/zfd0606st0010,Smart Buy
"Beko Refrigerator Double Door A+, 510Lit, Neo Frost Dual Cooling, White",RDNE 510M20 W,BEKO,TOP MOUNT,388.99,https://smartbuy-me.com/cdn/shop/files/NDA0606ST0005_4c6e3dd3-e546-4dc1-9360-a9f9c4b8dea0.jpg?v=1722962359&width=1024,/products/nda0606st0005,Smart Buy
Aux Two Doors Refrigerator 635 L A++ H-D-W 83 X 75 X 187 Silver,AUX-83I,AUX,SIDE BY SIDE,699.0,https://smartbuy-me.com/cdn/shop/files/AHL0606ST0019_a3b476fd-ea3e-40e0-89a2-14fc10a684b5.jpg?v=1722498642&width=1024,/products/ahl0606st0019,Smart Buy
"Daewoo Top Mount Refrigerators, A++,580 Lit, Stainless Steel",DE-TMF705 SS,DAEWOO,TOP MOUNT,725.0,https://smartbuy-me.com/cdn/shop/files/ZHR0606ST0067_41f07a5a-fbee-4660-9c4d-9cf2b42c4fea.jpg?v=1722504746&width=1024,/products/zhr0606st0067,Smart Buy
Aux Two Doors Refrigerator 480 L A++ H-D-W 80 X 69 X 178 Silver,AUX-64I,AUX,SIDE BY SIDE,499.0,https://smartbuy-me.com/cdn/shop/files/AHL0606ST0015_f83f6bd1-a676-422d-8ad8-7949d3976b16.jpg?v=1722498637&width=1024,/products/ahl0606st0015,Smart Buy
"Beko Refrigerator Sbs 558 Lit, Harvest Fresh Inox Neo Frost Pro Smart Inverter Compress",GN164020XP,BEKO,SIDE BY SIDE,799.0,https://smartbuy-me.com/cdn/shop/files/NDA0606ST0019_c4d4086d-934b-421c-9993-6d0db4b4eedf.jpg?v=1722962370&width=1024,/products/nda0606st0019,Smart Buy
